"idseccion","cod_tienda","nombre_tienda","idseccion_zona","cod_zona","zona","idseccion_plaza","cod_plaza","plaza","idseccion_division","cod_division","division","estado","fecha_apertura","fecha_cierre","direccion_sbs","distrito","provincia","departamento","geoubicacion","centro_costos","n_resolucion_sbs","fecha_resolucion","cod_sbs","condicion","tipo_tienda","clasificacion_tienda","tipo_horario","horario","nombre_almacen","embozadora","atencion_feriados","grupo_campana","ubigeo","tienda_imagine","fecha_imagine","tipo_idseccion","active_controller","kiosko","latitud","longitud","metros_cuadrados","cod_sector_gt","asofdate","codpropositositio","descpropositositio","codclasificaciontienda","codtipohorario","codtipotienda","codgeoubicacion","usuariocreamodifi","fechacreamodifi","horacreamodifi","lote","cu_tienda","region_convenios","region_convnominas","plaza_convenios","zona_convenios","fecinformacion"
"16300","163","Ate","81700","Z4","Zona 4","","","","82100","TL","Tiendas Lima","Cerrada","20071206","20200430","LT.16 MZ.C - ASOC.PRO-VIVIENDA PORVENIR VITARTE","ATE - VITARTE","LIMA","LIMA","Lima Este","1630300000","SBS 1682-2007","20071121","002-391","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA ATE","sin Embozadora","NO","Normal","140103","NO","19000101","T","1","1","-12.029627","-76.925060500000001","150.80000000000001","4314D","","","","","","","","","20210503","08:46:44.2470000",,"000163","Lima","00 LIMA","Zona Este","LIMA",
"24600","246","MM Vea Primavera","81200","Z6","Zona Moderna Este","","","","82100","TL","Tiendas Lima","Activa","20061124","","AV. ANGAMOS # 2337","SAN BORJA","LIMA","LIMA","Moderna 1","2460300000","SBS 1365-2006","20061019","002-349","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea PRIMAVERA","con Embozadora","SI","Normal","140140","NO","19000101","T","0","","-12.111525","-77.006838000000002","37.5","43343","","","","","","","","","20210503","08:46:44.2470000",,"000246","Lima","00 LIMA","Zona Moderna Este","LIMA",
"87100","871","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000871","Lima","","Sin Zona","PROVINCIA",
"36400","364","La Fontana","83200","Z10","Zona 10","","","","82100","TL","Tiendas Lima","Cerrada","20091209","20160331","AV JAVIER PRADO ESTE N° 5243 URN CAMACHO","LA MOLINA","LIMA","LIMA","Moderna 1","","SBS 11063-2009","20090818","002-467","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","LA FONTANA","sin Embozadora","NO","Normal","140110","SI","20131106","T","","","-12.0779076","-76.967293999999995","","4323E","","","","","","","","","20210503","08:46:44.2470000",,"000364","Lima","00 LIMA","Lima","LIMA",
"77500","775","MM Talara Vea Mall","90414","R1","Región Norte","","","","98900","TP","Tiendas Provincia","Cerrada","20151218","20191231","AV. IGNACIO MERINO, PARCELA A, LOTE N° 2, LOCALES N° 10-11","PARIÑAS","TALARA","PIURA","","7750300000","SBS 6597 - 2015","20151102","002-556","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea TALARA","con Embozadora","","Nació siendo Imagine","190701","SI","19000101","T","0","","-4.5872153000000004","-81.258686699999998","52.299999999999997","4212P","","","","","","","","","20210503","08:46:44.2470000",,"000775","Norte","","Talara","PROVINCIA",
"47600","476","TF USMP-Marsano","","","","","","","","","Tiendas lima","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000476","Lima","","Zona Moderna Oeste","LIMA",
"99600","996","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000996","Lima","","Sin Zona","PROVINCIA",
"76700","767","Real Plaza Cajamarca","","","","70001","PCH","Plaza Chiclayo","98900","TP","Tiendas Provincia","Activa","20140113","","AV. EVITAMIENTO NORTE, LOTE A1, LOCAL B-04","CAJAMARCA","CAJAMARCA","CAJAMARCA","","7670300000","SBS 7080 - 2013","20131202","002-535","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA REAL PLAZA CAJAMARCA","","","Nació siendo Imagine","60101","SI","20140116","T","1","1","-7.1544840000000001","-78.505386000000001","189.94","4212F","","","","","","","","","20210503","08:46:44.2470000",,"000767","Norte","01 NORTE","Cajamarca","PROVINCIA",
"53700","537","Chancay","90403","R2","Región Centro","52701","PNC","Plaza Norte chico","98900","TP","Tiendas Provincia","Activa","20120511","","CA. TENIENTE PRÍNGALES N° 112, PRIMER PISO","CHANCAY","HUARAL","LIMA","Centro","5370300000","SBS 2606 - 2012","20120426","002-503","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA CHANCAY","sin Embozadora","NO","Normal","140807","NO","19000101","T","0","","-11.566509","-77.269123070000006","120","42129","","","","","","","","","20210503","08:46:44.2470000",,"000537","Centro","02 NORTE CENTRO","Norte chico","PROVINCIA",
"61400","614","Trujillo Open Plaza","","","","60001","PTRU","Plaza Trujillo","98900","TP","Tiendas Provincia","Activa","20081223","","AV AMERICA NORTE N° 1245- URB. LOS JARDINES","TRUJILLO","TRUJILLO","LA LIBERTAD","Norte","6140300000","SBS 100-2009","20090107","002-449","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA TRUJILLO OPEN PLAZA","sin Embozadora","NO","Normal","120101","SI","20131118","T","1","1","-8.0943886389999999","-79.023374390000001","283.25","4211R","","","","","","","","","20210503","08:46:44.2470000",,"000614","Norte","01 NORTE","Trujillo","PROVINCIA",
"17000","170","Villa Maria del Triunfo","81300","Z7","Zona Sur","","","","82100","TL","Tiendas Lima","Activa","20070613","","AV. PACHACUTEC N?243-233","VILLA MARIA DEL TRIUNFO","LIMA","LIMA","Lima Sur","1700300000","SBS 568-2007","20070511","002-355","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA VILLA MARIA DEL TRIUNFO","sin Embozadora","NO","Normal","140132","SI","20140704","T","1","1","-12.16787792","-76.950620560000004","187","43249","","","","","","","","","20210503","08:46:44.2470000",,"000170","Lima","00 LIMA","Zona Sur","LIMA",
"04800","048","Fiori","80500","Z1","Zona Norte","","","","82100","TL","Tiendas Lima","Activa","19820101","","C.C. FIORI - PANAMERICANA NORTE","SAN MARTIN DE PORRES","LIMA","LIMA","Lima Norte","0480300000","SBS 414-2002","20100505","002-170","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA FIORI","sin Embozadora","NO","Normal","140126","SI","20131127","T","1","1","-12.0088338","-77.059896499999994","273.89999999999998","43111","","","","","","","","","20210503","08:46:44.2470000",,"000048","Lima","00 LIMA","Zona Norte","LIMA",
"17100","171","MM Jr de la Unión","82600","Z9","Zona 9","","","","82100","TL","Tiendas Lima","Cerrada","20110117","20120430","AV. JIRON DE LA UNION N° 601","LIMA - CERCADO","LIMA","LIMA","Lima Centro","","SBS 15266-2010","20101118","002-486","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM JR DE LA UNIÓN","","","Normal","140101","NO","19000101","T","","","","","","","","","","","","","","","20210503","08:46:44.2470000",,"000171","Lima","00 LIMA","","",
"26200","262","MM Vivanda Pardo","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20051214","","AV. JOSE PARDO # 715","MIRAFLORES","LIMA","LIMA","Moderna 1","2620300000","SBS 1651-2005","20051109","002-337","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM VIVANDA PARDO","sin Embozadora","SI","Normal","140107","NO","19000101","T","0","","-12.119398","-77.036086999999995","28.600000000000001","43338","","","","","","","","","20210503","08:46:44.2470000",,"000262","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"48700","487","El Ejército","81800","Z8","Zona 8","","","","82100","TL","Tiendas Lima","Cerrada","20141125","20200508","Av. El Ejército N° 396, Urb. Santa Cruz","MIRAFLORES","LIMA","LIMA","","4870300000","SBS 7080 - 2013","20131202","0","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA EL EJERCITO","","","Nació siendo Imagine","140107","SI","20141125","T","1","1","-12.116790999999999","-77.044781700000001","225","43243","","","","","","","","","20210503","08:46:44.2470000",,"000487","Lima","00 LIMA","Zona 8","LIMA",
"09300","093","Ovalo Santa Anita","81700","Z4","Zona Este","","","","82100","TL","Tiendas Lima","Activa","20071227","","LT.18 MZ.B-1 - CA. LAS ALONDRAS N?385","SANTA ANITA","LIMA","LIMA","Lima Este","0930300000","SBS 1682-2007","20071121","002-392","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA OVALO STA ANITA LAS ALONDRAS","sin Embozadora","NO","Normal","140143","SI","20131127","T","1","1","-12.053045279999999","-76.961740730000002","394","43146","","","","","","","","","20210503","08:46:44.2470000",,"000093","Lima","00 LIMA","Zona Este","LIMA",
"63400","634","Las Flores","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Cerrada","20131213","20201231","AV. DOS DE MAYO N° 1525, LOCAL 101","SAN ISIDRO","LIMA","LIMA","","6340300000","SBS 5754 - 2013","20130919","002-534","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA LAS FLORES - 2 DE MAYO","","","Nació siendo Imagine","140112","SI","20131213","T","1","1","-12.092621790000001","-77.046760039999995","361","4321C","","","","","","","","","20210503","08:46:44.2470000",,"000634","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"09000","090","Revolución","81300","Z7","Zona 7","","","","82100","TL","Tiendas Lima","Cerrada","20081117","20190330","AV REVOLUCION N° 1830","VILLA EL SALVADOR","LIMA","LIMA","Lima Sur","0900300000","SBS 10680-2008","20081106","002-424","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:30pm / S de 9:00am a 1:00pm","TIENDA REVOLUCION VES","sin Embozadora","NO","Normal","140141","NO","19000101","T","0","","-12.210037","-76.938879","140","43241","","","","","","","","","20210503","08:46:44.2470000",,"000090","Lima","00 LIMA","Zona Sur","LIMA",
"44200","442","MM El Agustino","81700","Z4","Zona 4","","","","82100","TL","Tiendas Lima","Cerrada","20151208","20191231","AV. JOSE CARLOS MARIATEGUI ESQUINA CON AV. LAS MAGNOLIAS, LOCAL 01","EL AGUSTINO","LIMA","LIMA","Lima Este","4420300000","SBS 6597 - 2015","20151102","002-555","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM EL AGUSTINO","sin Embozadora","SI","Nació siendo Imagine","140135","SI","19000101","T","0","","-12.033218460000001","-76.998139940000002","52.829999999999998","43148","","","","","","","","","20210503","08:46:44.2470000",,"000442","Lima","","Zona Este","LIMA",
"41700","417","Primavera","81200","Z6","Zona 6","","","","82100","TL","Tiendas Lima","Cerrada","20150430","20200430","AV. PRIMAVERA N° 768-770-772, URB. CHACARILLA DEL ESTANQUE","SURCO","LIMA","LIMA","","4170300000","SBS 1069 - 2015","20150310","002-561","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PRIMAVERA","","","Nació siendo Imagine","140129","SI","20150430","T","1","1","-12.111007130000001","-76.985057620000006","1040","4322I","","","","","","","","","20210503","08:46:44.2470000",,"000417","Lima","","Zona Moderna Este","LIMA",
"63700","637","28 de Julio","81300","Z7","Zona Sur","","","","82100","TL","Tiendas Lima","Cerrada","20140602","20201231","ENTRE LAS AVENIDAS 28 DE JULIO Y PASEO DE LA REPUBLICA, LOCAL COMERCIAL 105, URB. SAN ANTONIO","MIRAFLORES","LIMA","LIMA","","6370300000","SBS 1948 - 2014","20140401","002-540","Alquilada","Tienda Financiera","Centro Comercial","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA 28 DE JULIO","","","Nació siendo Imagine","140107","SI","20140602","T","1","1","-12.1295799","-77.022216700000001","139.75","4333C","","","","","","","","","20210503","08:46:44.2470000",,"000637","Lima","00 LIMA","Zona Sur","LIMA",
"81400","814","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000814","Lima","","Sin Zona","PROVINCIA",
"40400","404","Pisco","90405","R3","Región Sur","40001","PICA","Plaza Ica","98900","TP","Tiendas Provincia","Activa","20070911","","AV. SAN MARTIN 101","PISCO","PISCO","ICA","Centro","4040300000","SBS 1232-2007","20070911","002-057","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PISCO","sin Embozadora","NO","Normal","100401","SI","20131021","T","1","1","-13.710035","-76.203717999999995","282.80000000000001","4222A","","","","","","","","","20210503","08:46:44.2470000",,"000404","Sur","03 SUR CENTRO","Ica","PROVINCIA",
"32200","322","Juliaca","90405","R3","Región Sur","34001","PTCQ","Plaza Tacna","98900","TP","Tiendas Provincia","Activa","20060921","","JR. MARIANO NUÑEZ 227 - 235","JULIACA","SAN ROMAN","PUNO","Sur","3220300000","SBS 1229-2006","20060921","002-278","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA JULIACA","sin Embozadora","NO","Normal","200901","NO","19000101","T","0","","-15.495825999999999","-70.131467000000001","278.94","4222F","","","","","","","","","20210503","08:46:44.2470000",,"000322","Sur","04 SUR","Tacna","PROVINCIA",
"71200","712","Chiclayo Real Plaza","","","","70001","PCH","Plaza Chiclayo","98900","TP","Tiendas Provincia","Activa","20051020","","AV. MIGUEL DE CERVANTES # 300 PJ - MURO DIEGO FERRE - CC.REAL PLAZA - MODULO LC 101","CHICLAYO","CHICLAYO","LAMBAYEQUE","Norte","7120300000","SBS 1574-2005","20051020","002-335","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA CHICLAYO REAL PLAZA","con Embozadora","NO","Normal","130101","SI","20130923","T","1","1","-6.7764330020000001","-79.833515559999995","174.72","4211G","","","","","","","","","20210503","08:46:44.2470000",,"000712","Norte","01 NORTE","Chiclayo","PROVINCIA",
"77000","770","Piura Santa Isabel","","","","72001","PPIU","Plaza Piura","98900","TP","Tiendas Provincia","Activa","20141028","","AV. PANAMERICANA 349 MZ A LOTE 4","PIURA","PIURA","PIURA","","7700300000","SBS 5051 - 2014","20140808","002-553","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PIURA SANTA ISABEL","","","Nació siendo Imagine","190101","SI","20141028","T","1","1","-5.1828630000000002","-80.630958000000007","254.69999999999999","4212N","","","","","","","","","20210503","08:46:44.2470000",,"000770","Norte","01 NORTE","Piura","PROVINCIA",
"61900","619","MM Chimbote Miramar","90403","R2","Región Centro","62001","PCHM","Plaza Chimbote","98900","TP","Tiendas Provincia","Activa","20091231","","JR. FRANCISCO BOLOGNESI N° 996 - ASENTAMIENTO HUMANO MIRAMAR BAJO CHIMBOTE","CHIMBOTE","SANTA","ANCASH","Norte","6190300000","SBS 15503-2009","20091211","002-471","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM CHIMBOTE MIRAMAR","sin Embozadora","NO","Normal","21301","NO","19000101","T","0","","-9.0783339999999999","-78.589025000000007","60.359999999999999","4211Y","","","","","","","","","20210503","08:46:44.2470000",,"000619","Norte","02 NORTE CENTRO","Chimbote","PROVINCIA",
"08400","084","México","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","20071106","","AV. MEXICO N? 558","LA VICTORIA","LIMA","LIMA","Lima Centro","0840300000","SBS 568-2007","20070511","002-358","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA LA VICTORIA","sin Embozadora","NO","Normal","140115","SI","20131211","T","1","1","-12.07522","-77.023912999999993","440","43144","","","","","","","","","20210503","08:46:44.2470000",,"000084","Lima","00 LIMA","Zona Centro","LIMA",
"43900","439","Mall del Sur","81300","Z7","Zona Sur","","","","82100","TL","Tiendas Lima","Activa","20160429","","Av. Pedro Miotta N° 1010","SAN JUAN DE MIRAFLORES","LIMA","LIMA","","4390300000","SBS 6396 - 2015","20151023","0","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 9:00am a 8:00pm","TF MALL DEL SUR","con Embozadora","","Nació siendo Imagine","140136","SI","19000101","T","1","1","-12.1562103","-76.982322999999994","222.81999999999999","4323L","","","","","","","","","20210503","08:46:44.2470000",,"000439","Lima","","Zona Sur","LIMA",
"11800","118","MM Vea Corpac","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","20080311","","CA. REMINGTON N?151 - 159 URB. CORPAC","SAN BORJA","LIMA","LIMA","Moderna 1","1180300000","SBS 484-2008","20080305","002-407","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea CORPAC","sin Embozadora","SI","Normal","140140","NO","19000101","T","0","","-12.098496000000001","-77.011486000000005","8","43341","","","","","","","","","20210503","08:46:44.2470000",,"000118","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"77300","773","TF Piura Sanchez Cerro","","","","72001","PPIU","Plaza Piura","98900","TP","Tiendas Provincia","Activa","20151214","","AV. SANCHEZ CERRO N° 1229, URB. CLUB GRAU, MZ H, LOTE 11","PIURA","PIURA","PIURA","","7730300000","SBS 6597 - 2015","20151102","002-557","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PIURA SANCHEZ CERRO","sin Embozadora","","Nació siendo Imagine","190101","SI","19000101","T","1","1","-5.1910212539999998","-80.632112699999993","507.5","4212O","","","","","","","","","20210503","08:46:44.2470000",,"000773","Norte","","Piura","PROVINCIA",
"56200","562","Huánuco Real Plaza","90403","R2","Región Centro","75001","PTPP","Plaza Oriente","98900","TP","Tiendas Provincia","Activa","20130103","","JR. INDEPENDENCIA CDRAS. 16-17, LAS MORAS, LOCAL B-05","HUANUCO","HUANUCO","HUANUCO","Centro","5620300000","SBS 8593 - 2012","20121112","002-521","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA REAL PLAZA HUANUCO","sin Embozadora","NO","Normal","90101","SI","20130816","T","1","1","-9.9198638209999999","-76.24095896","217.71000000000001","4221K","","","","","","","","","20210503","08:46:44.2470000",,"000562","Centro","03 SUR CENTRO","Junin","PROVINCIA",
"72000","720","Piura","","","","72001","PPIU","Plaza Piura","98900","TP","Tiendas Provincia","Activa","19991215","","AV. GRAU 154","PIURA","PIURA","PIURA","Norte","7200300000","SBS 1105-1999","19991215","002-009","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PLAZA PIURA","sin Embozadora","NO","Normal","190101","SI","20131209","T","1","2","-5.1960881820000004","-80.627200490000007","1475.6199999999999","42122","","","","","","","","","20210503","08:46:44.2470000",,"000720","Norte","01 NORTE","Piura","PROVINCIA",
"36300","363","Santa Luzmila","80500","Z1","Zona 1","","","","82100","TL","Tiendas Lima","Cerrada","20121105","20161231","AV. UNIVERSITARIA NORTE N° 7091-7095-7099, LOTE 001, URB. SANTA CATALINA  ZONAL 06","COMAS","LIMA","LIMA","Lima Norte","3630300000","SBS 6954 - 2012","20120912","002-513","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA SANTA LUZMILA","sin Embozadora","NO","Normal","140104","SI","20140625","T","1","1","-11.900665999999999","-77.040026999999995","500.60000000000002","4311I","","","","","","","","","20210503","08:46:44.2470000",,"000363","Lima","00 LIMA","Zona Norte","LIMA",
"52200","522","Huaral","90403","R2","Región Centro","52701","PNC","Plaza Norte chico","98900","TP","Tiendas Provincia","Activa","20091030","","AV. EL SOLAR 399","HUARAL","HUARAL","LIMA","Centro","5220300000","SBS 14294-2009","20091030","002-075","Propia","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA HUARAL","sin Embozadora","NO","Normal","140801","SI","20140821","T","1","1","-11.494953150000001","-77.207101550000004","355.14999999999998","4211B","","","","","","","","","20210503","08:46:44.2470000",,"000522","Centro","02 NORTE CENTRO","Norte chico","PROVINCIA",
"61300","613","Trujillo La Esperanza","90414","R1","Región Norte","60001","PTRU","Plaza Trujillo","98900","TP","Tiendas Provincia","Cerrada","20081202","20180414","PUEBLO JOVEN LA ESPERANZA, SECTOR CENTRAL, BARIIO 3, MZ. 24, LOTE 16","HUANCHACO","TRUJILLO","LA LIBERTAD","Norte","6130300000","SBS 14294-2009","20091030","002-429","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:30pm / S de 9:00am a 1:30pm","TIENDA TRUJILLO LA ESPERANZA","sin Embozadora","NO","Normal","120104","NO","19000101","T","0","","-8.0529829999999993","-79.059552999999994","135.90000000000001","4211Q","","","","","","","","","20210503","08:46:44.2470000",,"000613","Norte","01 NORTE","Trujillo","PROVINCIA",
"76200","762","Tarapoto Ramón Castilla","90403","R2","Región Centro","75001","PTPP","Plaza Oriente","98900","TP","Tiendas Provincia","Cerrada","20121214","20210331","JR. RAMON CASTILLA N° 284","TARAPOTO","SAN MARTIN","SAN MARTIN","Centro","7620300000","SBS 8058 - 2012 SBS 8593 - 2012","18991230","002-517","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA TARAPOTO - RAMON CASTILLA","sin Embozadora","NO","Normal","210601","NO","19000101","T","1","1","-6.4880649999999997","-76.362495999999993","249.88","42311","","","","","","","","","20210503","08:46:44.2470000",,"000762","Centro","02 NORTE CENTRO","Oriente","PROVINCIA",
"34500","345","MM Vea Alfonso Ugarte","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","20081213","","AV URUGUAY N° 568-579-596 Y AV. ALFONSO UGARTE N° 1103-1107-1113-1129-1171-1179","BREÑA","LIMA","LIMA","Lima Centro","3450300000","SBS 12502-2008","20081212","002-444","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea ALFONSO UGARTE","con Embozadora","SI","Normal","140104","NO","19000101","T","0","","-12.054","-77.041650000000004","48","43349","","","","","","","","","20210503","08:46:44.2470000",,"000345","Lima","00 LIMA","Zona Centro","LIMA",
"12200","122","Bolívar","82000","Z2","Zona Oeste","","","","82100","TL","Tiendas Lima","Activa","20081204","","AV BOLIVAR N° 970 Y N° 970 B","PUEBLO LIBRE","LIMA","LIMA","Moderna 2","1220300000","SBS 9747-2008","20080930","002-432","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA BOLIVAR","sin Embozadora","NO","Normal","140107","SI","20131015","T","1","1","-12.071809350000001","-77.063627240000002","436.64999999999998","4313A","","","","","","","","","20210503","08:46:44.2470000",,"000122","Lima","00 LIMA","Zona Oeste","LIMA",
"64300","643","La Rambla Brasil","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","20141115","","AV. BRASIL N° 714 AL N° 792, JR. CENTENARIO N° 100 y AV JUAN PABLO FERNANDINI N° 767 PRIMER PISO LOCAL 101 y 102","BREÑA","LIMA","LIMA","","6430300000","SBS 6618 - 2014","20141007","002-551","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a V de 10:00 a.m. a 8:00 p.m. / S de 10:00 a.m. a 2:00 p.m.","TIENDA LA RAMBLA BRASIL","","NO","Nació siendo Imagine","140104","SI","20141115","T","1","1","-12.06692292","-77.047336999999999","286.92000000000002","4331G","","","","","","","","","20210503","08:46:44.2470000",,"000643","Lima","00 LIMA","Zona Centro","LIMA",
"24700","247","MM Vea Brasil","81500","Z3","Zona Centro","","","","82100","TL","Tiendas Lima","Activa","20050401","","AV. BRASIL CDRA. 15 JESÚS MARÍA","JESUS MARIA","LIMA","LIMA","Moderna 2","2470300000","SBS 317-2005","20050218","002-273","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM Vea BRASIL","con Embozadora","SI","Normal","140133","NO","19000101","T","0","","-12.07506482","-77.053358000000003","44.359999999999999","43344","","","","","","","","","20210503","08:46:44.2470000",,"000247","Lima","00 LIMA","Zona Centro","LIMA",
"40800","408","Ica San José","90405","R3","Región Sur","40001","PICA","Plaza Ica","98900","TP","Tiendas Provincia","Cerrada","20090604","20191231","SUB LOTE E.U. B-3 DEL FUNDO DE ICA","ICA","ICA","ICA","Centro","4080300000","SBS 2419-2009","20090408","002-458","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM ICA SAN JOSE","con Embozadora","SI","Normal","100101","SI","20131021","T","1","1","-14.07202457","-75.737357790000004","154.62","4222X","","","","","","","","","20210503","08:46:44.2470000",,"000408","Sur","03 SUR CENTRO","Ica","PROVINCIA",
"74500","745","Iquitos Belén","90403","R2","Región Centro","75001","PTPP","Plaza Oriente","98900","TP","Tiendas Provincia","Cerrada","20081107","20201231","JR 9 DE DICIEMBRE N ° 333, BELEN - ZONA URBANA","IQUITOS","MAYNAS","LORETO","Centro","7450300000","SBS 9747-2008","20080930","002-421","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA IQUITOS BELEN","sin Embozadora","NO","Normal","150101","NO","19000101","T","0","","-3.7577913970000001","-73.249871189999993","145","4222Q","","","","","","","","","20210503","08:46:44.2470000",,"000745","Centro","02 NORTE CENTRO","Oriente","PROVINCIA",
"29100","291","Aramburu","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Cerrada","20050328","20210331","AV. ARAMBURU 898 ESQ. CA. LAS TIENDAS","SURQUILLO","LIMA","LIMA","Moderna 2","2910300000","SBS 317-2005","20050218","002-258","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA ARAMBURU","sin Embozadora","NO","Normal","140131","NO","19000101","T","0","","-12.102378","-77.021161000000006","134.97999999999999","4322D","","","","","","","","","20210503","08:46:44.2470000",,"000291","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"46100","461","TF Mega Industrial Arequipa","","","","30001","PAQP","Plaza Arequipa","98900","TP","Tiendas Provincia","Cerrada","20170106","20201231","Calle Jacinto Ibañez N° 315, Urbanización Parque Industrial","CERCADO DE AREQUIPA","AREQUIPA","AREQUIPA","","4610300000","SBS 5197 - 2016","20160930","002-563","ALQUILADA","Tienda Financiera","Centro Comercial","Normal","L a V de 09:00 am a 06:00 pm/S 09:00 AM -01:00 PM","TF Mega Industrial Arequipa","Sin Embozadora","NO","","","SI","19000101","T","0","0","-16.419023200000002","-71.543664449999994","381","","","","","","","","","","20210503","08:46:44.2470000",,"000461","Arequipa","","Arequipa","PROVINCIA",
