"idseccion","cod_tienda","nombre_tienda","idseccion_zona","cod_zona","zona","idseccion_plaza","cod_plaza","plaza","idseccion_division","cod_division","division","estado","fecha_apertura","fecha_cierre","direccion_sbs","distrito","provincia","departamento","geoubicacion","centro_costos","n_resolucion_sbs","fecha_resolucion","cod_sbs","condicion","tipo_tienda","clasificacion_tienda","tipo_horario","horario","nombre_almacen","embozadora","atencion_feriados","grupo_campana","ubigeo","tienda_imagine","fecha_imagine","tipo_idseccion","active_controller","kiosko","latitud","longitud","metros_cuadrados","cod_sector_gt","asofdate","codpropositositio","descpropositositio","codclasificaciontienda","codtipohorario","codtipotienda","codgeoubicacion","usuariocreamodifi","fechacreamodifi","horacreamodifi","lote","cu_tienda","region_convenios","region_convnominas","plaza_convenios","zona_convenios","fecinformacion"
"51300","513","Huancayo Real Plaza","90403","R2","Región Centro","50001","PJUN","Plaza Junin","98900","TP","Tiendas Provincia","Activa","20081024","","AV GIRALDEZ NO 497","HUANCAYO","HUANCAYO","JUNIN","Centro","5130300000","SBS 13727-2008","20081229","002-422","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA HUANCAYO REAL PLAZA","con Embozadora","SI","Normal","110101","SI","20131111","T","1","1","-12.067057","-75.204994999999997","284.02999999999997","4222R","","","","","","","","","20210503","08:46:44.2470000",,"000513","Centro","03 SUR CENTRO","Junin","PROVINCIA",
"35300","353","Zárate","81700","Z4","Zona 4","","","","82100","TL","Tiendas Lima","Cerrada","20121003","20171230","AVENIDA GRAN CHIMÚ N°1641, MANZANA K-7, LOTE 12, URBANIZACIÓN ZÁRATE","SAN JUAN DE LURIGANCHO","LIMA","LIMA","Lima Este","3530300000","SBS 5356 - 2012","20120806","002-512","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA ZARATE SJL","sin Embozadora","NO","Normal","140137","SI","20140703","T","1","1","-12.024039999999999","-76.985883999999999","363.10000000000002","4314H","","","","","","","","","20210503","08:46:44.2470000",,"000353","Lima","00 LIMA","Zona Este","LIMA",
"10800","108","Pardo","96200","Z5","Zona Moderna Oeste","","","","82100","TL","Tiendas Lima","Activa","19840601","","AV. JOSE PARDO 413 ESQ. C/ CA. LIBERTAD","MIRAFLORES","LIMA","LIMA","Moderna 1","1080300000","SBS 257-1984","19840611","002-146","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA PARDO","sin Embozadora","NO","Normal","140107","NO","19000101","T","1","1","-12.11930697","-77.03298393","241.18000000000001","43227","","","","","","","","","20210503","08:46:44.2470000",,"000108","Lima","00 LIMA","Zona Moderna Oeste","LIMA",
"52900","529","MM Huacho Plaza del Sol","90403","R2","Región Centro","52701","PNC","Plaza Norte chico","98900","TP","Tiendas Provincia","Activa","20101231","","AV. 9 DE OCTUBRE CON JR. SALAVERRY Y MALECON ROCA","HUACHO","HUAURA","LIMA","Centro","5290300000","SBS 15266-2010","20101118","002-482","Alquilada","Money Market","Supermercado","Money","L a D 9:00am a 9:00pm","MM HUACHO (HURON)","con Embozadora","NO","Normal","140501","NO","19000101","T","0","","-11.11006164","-77.613079479999996","35","4212Q","","","","","","","","","20210503","08:46:44.2470000",,"000529","Centro","02 NORTE CENTRO","Norte Chico","PROVINCIA",
"54900","549","MM Tarapoto","90403","R2","Región Centro","75001","PTPP","Plaza Oriente","98900","TP","Tiendas Provincia","Cerrada","20190215","20200630","Av. Salaverry N° 810, Sector Barrio San Martin Morales","TARAPOTO","SAN MARTIN","SAN MARTIN","Centro","5490300000","SBS 4745 - 2018","20181203","","Alquilada","Money Market","Supermercado","Money","Lunes a Domingo de 9:00 am a 9:00 pm","","sin Embozadora","SI","","210601","SI","20190215","T","0","0","-6.4819509999999996","-76.377269999999996","-6.4818290000000003","-76.377492","","","","","","","","","20210503","08:46:44.2470000",,"000549","Centro","","Tarapoto","PROVINCIA",
"61700","617","TF Nuevo Chimbote Real Plaza","90403","R2","Región Centro","62001","PCHM","Plaza Chimbote","98900","TP","Tiendas Provincia","Activa","20101231","","Carretera Panamericana Norte Km 424.20 (CC Real Plaza, esquina con Av. Country)","CHIMBOTE","SANTA","ANCASH","Centro","6170300000","SBS 15266-2010","20180409","002-483","Alquilada","Tienda Financiera","Calle","Horario Extendido","L a S 10:00am a 8:00pm","MM CHIMBOTE (CHIMPANCE)","con Embozadora","NO","Normal","21301","SI","20131202","T","0","","-9.1260169999999992","-78.535128","49.200000000000003","42125","","","","","","","","","20210503","08:46:44.2470000",,"000617","Norte","02 NORTE CENTRO","Chimbote","PROVINCIA",
"12100","121","San Salvador","80500","Z1","Zona 1","","","","82100","TL","Tiendas Lima","Cerrada","20080930","20170630","AV. PERU N? 2290 - 2286","SAN MARTIN DE PORRES","LIMA","LIMA","Lima Norte","1210300000","SBS 4846-2008","20080807","002-416","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA SAN SALVADOR","sin Embozadora","NO","Normal","140126","NO","19000101","T","1","1","-12.031561","-77.069789","293.44","43114","","","","","","","","","20210503","08:46:44.2470000",,"000121","Lima","00 LIMA","Zona Norte","LIMA",
"92300","923","","","","","","","","","","Tiendas provincia","Pendiente","19000101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",,"000923","Lima","","Sin Zona","PROVINCIA",
"36100","361","Moquegua","90405","R3","Región Sur","34001","PTCQ","Plaza Tacna","98900","TP","Tiendas Provincia","Activa","20071228","","CA. MOQUEGUA ESQ.CON TARAPACA N?904-910 Y N?303-323","MOQUEGUA","MCAL. NIETO","MOQUEGUA","Sur","3610300000","SBS 1868-2007","20071219","002-401","Alquilada","Tienda Financiera","Calle","Normal","L a V de 9:00am a 6:00pm / S de 9:00am a 1:00pm","TIENDA MOQUEGUA","sin Embozadora","NO","Normal","170101","SI","20140719","T","1","1","-17.192126999999999","-70.932573000000005","419.37","4222I","","","","","","","","","20210503","08:46:44.2470000",,"000361","Sur","04 SUR","Tacna","PROVINCIA",
"41900","419","Cusco Real Plaza","90405","R3","Región Sur","42001","PCUS","Plaza Cusco","98900","TP","Tiendas Provincia","Activa","20140326","","AV. LA CULTURA, ALTURA DEL SEMINARIO SAN ANTONIO DE ABAD S/N, LOCALES LC-113-129-131-133","CUSCO","CUSCO","CUSCO","","4190300000","SBS 6149 - 2013","20131011","002-538","Alquilada","Tienda Financiera","Centro Comercial","Horario Extendido","L a S de 10:00am a 8:00pm","TIENDA REAL PLAZA CUSCO","","","Nació siendo Imagine","70101","SI","20140326","T","1","1","-13.523319000000001","-71.950138999999993","238.27000000000001","4221O","","","","","","","","","20210503","08:46:44.2470000",,"000419","Sur","04 SUR","Cusco","PROVINCIA",
