"num_ciiuv4","desc_seccion","desc_propuesta","desc_v2","desc_sector_01","p_fecinformacion"
"150","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta)","Agropecuario","20260128"
"161","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Actividades de apoyo a la agricultura","Agropecuario","20260128"
"162","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Actividades de apoyo a la ganadería","Agropecuario","20260128"
"163","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Actividades poscosecha","Agropecuario","20260128"
"164","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Tratamiento de semillas para propagación","Agropecuario","20260128"
"170","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Caza ordinaria y mediante trampas y actividades de servicios conexas","Agropecuario","20260128"
"210","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Silvicultura y otras actividades forestales","Agropecuario","20260128"
"220","Agricultura, GANADERIA, silvicultura y pesca","MINERIA","Extracción de madera","Mineria","20260128"
"230","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Recolección de productos forestales distintos de la madera","Agropecuario","20260128"
"240","Agricultura, GANADERIA, silvicultura y pesca","AGROPECUARIO","Servicios de apoyo a la silvicultura","Agropecuario","20260128"
"311","Agricultura, GANADERIA, silvicultura y pesca","PESCA","Pesca marítima","Pesca","20260128"
"312","Agricultura, GANADERIA, silvicultura y pesca","PESCA","Pesca de agua dulce","Pesca","20260128"
"321","Agricultura, GANADERIA, silvicultura y pesca","PESCA","Acuicultura marina","Pesca","20260128"
"322","Agricultura, GANADERIA, silvicultura y pesca","PESCA","Acuicultura de agua dulce","Pesca","20260128"
"510","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de carbón de piedra","Hidrocarburos","20260128"
"520","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de lignito","Hidrocarburos","20260128"
"610","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de petróleo crudo","Hidrocarburos","20260128"
"620","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de gas natural","Hidrocarburos","20260128"
"710","EXPLOTACION de minas y canteras","MINERIA","Extracción de minerales de hierro","Mineria","20260128"
"721","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de minerales de uranio y torio","Hidrocarburos","20260128"
"729","EXPLOTACION de minas y canteras","MINERIA","Extracción de otros minerales metalíferos no ferrosos","Mineria","20260128"
"810","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de piedra, arena y arcilla","Hidrocarburos","20260128"
"891","EXPLOTACION de minas y canteras","MINERIA","Extracción de minerales para la fabricación de abonos y productos químicos","Mineria","20260128"
"892","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de turba","Hidrocarburos","20260128"
"893","EXPLOTACION de minas y canteras","HIDROCARBUROS","Extracción de sal","Hidrocarburos","20260128"
"899","EXPLOTACION de minas y canteras","MINERIA","Explotación de otras minas y canteras n.c.p.","Mineria","20260128"
"910","EXPLOTACION de minas y canteras","HIDROCARBUROS","Actividades de apoyo para la extracción de petróleo y gas natural","Hidrocarburos","20260128"
"990","EXPLOTACION de minas y canteras","MINERIA","Actividades de apoyo para otras actividades de explotación de minas y canteras","Mineria","20260128"
